"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
","NAV 
 09-Aug-2022","52W H 
","52W L 
","365 D 
","365 D % CHNG 
","30 D 
","30 D % CHNG 
"
"EBANK","Nifty Bank","4,300.00","4,300.00","4,050.11","3,980.00","4,200.00","220.00","5.53","90","375,739.20","3,983.48","4,398.00","3,500.00","09-Aug-2021","6.32","13-Jul-2022","-0.50"
"ICICIAUTO","Nifty Auto Index","131.98","134.00","129.16","130.28","134.00","3.72","2.86","33787","4,492,657.39","130.54","134.00","92.90","-","-","15-Jul-2022","4.50"
"AUTOBEES","Nifty Auto TRI","132.40","133.90","130.68","130.68","133.90","3.22","2.46","84138","11,154,174.66","130.61","137.70","101.36","-","-","15-Jul-2022","4.39"
"MONQ50","Nasdaq Q-50 Total Return Index","56.98","56.98","55.13","54.78","55.98","1.20","2.19","6999","389,074.41","54.53","78.00","45.00","-","-","15-Jul-2022","3.36"
"MASPTOP50","S&P 500 Top 50 Total Return Index","28.98","29.19","28.57","28.57","29.14","0.57","2.00","103881","3,012,549.00","28.91","37.00","23.10","-","-","15-Jul-2022","9.69"
"ICICINXT50","Nifty Next 50","43.00","44.20","41.00","43.41","44.19","0.78","1.80","214468","9,430,157.96","43.48","50.97","32.80","13-Aug-2021","7.92","15-Jul-2022","8.14"
"AXISCETF","NIFTY India Consumption Index","75.21","78.85","75.21","77.53","78.85","1.32","1.70","7058","548,477.18","77.63","84.00","60.00","-","-","15-Jul-2022","6.07"
"DSPQ50ETF","Nifty Midcap 150 Quality 50 Index","171.00","173.74","171.00","170.88","173.74","2.86","1.67","29404","5,092,478.76","171.17","189.00","146.00","-","-","15-Jul-2022","9.02"
"UTINEXT50","Nifty Next 50","44.99","45.27","43.66","44.54","45.27","0.73","1.64","929405","41,851,107.15","44.39","49.50","36.83","13-Aug-2021","7.37","15-Jul-2022","8.50"
"MANXT50","Nifty Next 50","427.75","432.95","427.55","425.53","432.48","6.95","1.63","4542","1,950,789.00","426.25","530.18","352.79","13-Aug-2021","7.47","15-Jul-2022","7.97"
"MOM100","Nifty Midcap 100","33.65","33.65","32.55","32.75","33.26","0.51","1.56","139555","4,622,061.60","32.70","36.65","26.42","13-Aug-2021","12.31","15-Jul-2022","9.40"
"ICICIM150","Nifty Midcap 150","117.52","119.75","117.10","117.93","119.75","1.82","1.54","24034","2,862,449.40","118.18","132.70","96.75","13-Aug-2021","11.19","15-Jul-2022","9.35"
"MON100","Nasdaq100","109.50","109.50","104.10","103.79","105.38","1.59","1.53","514941","54,115,149.69","103.45","138.60","87.45","13-Aug-2021","-6.61","15-Jul-2022","11.89"
"ABSLNN50ET","Nifty Next 50","43.90","44.00","42.65","43.34","44.00","0.66","1.52","5176","225,673.60","43.32","520.00","34.00","13-Aug-2021","-89.23","15-Jul-2022","7.96"
"CONSUMBEES","Nifty India Consumption TRI","83.87","85.48","83.04","83.87","85.10","1.23","1.47","52489","4,444,768.52","83.86","99.30","68.71","-","-","15-Jul-2022","6.37"
"JUNIORBEES","Nifty Next 50","450.84","454.40","420.20","446.98","453.25","6.27","1.40","115447","52,043,507.60","446.14","532.75","352.62","13-Aug-2021","7.37","15-Jul-2022","7.92"
"KOTAKALPHA","NIFTY Alpha 50 Index","28.99","29.39","28.06","28.56","28.95","0.39","1.37","310428","8,968,264.92","28.76","41.00","24.36","-","-","15-Jul-2022","9.22"
"LICNETFGSC","GSEC10 NSE Index","22.45","22.60","21.87","22.15","22.45","0.30","1.35","16898","379,191.12","22.18","26.94","19.00","13-Aug-2021","1.23","15-Jul-2022","1.46"
"MID150BEES","Nifty Midcap 150 TRI","120.00","120.00","117.55","118.33","119.88","1.55","1.31","109071","13,039,438.05","118.33","124.20","87.29","-","-","15-Jul-2022","9.22"
"INFRABEES","Nifty Infra","523.00","531.00","522.50","522.56","529.24","6.68","1.28","1970","1,038,052.10","523.32","590.20","456.00","13-Aug-2021","10.21","15-Jul-2022","7.07"
