Date,Open,High,Low,Close,change,lookback_mean,lookback_std
2000-01-03,1482.15,1592.9,1482.15,1592.2,,,
2000-01-04,1594.4,1641.95,1594.4,1638.7,0.02920487375957794,0.02920487375957794,
2000-01-05,1634.55,1635.5,1555.05,1595.8,-0.026179288460364977,0.001512792649606482,0.03916251667605743
2000-01-06,1595.8,1639.0,1595.8,1617.6,0.013660859756861734,0.005562148352024899,0.028566469873181108
2000-01-07,1616.6,1628.25,1597.2,1613.3,-0.002658259149357044,0.0035070464766794136,0.02368380407681805
2000-01-10,1615.65,1662.1,1614.95,1632.9,0.012149011343209655,0.005235439449985462,0.02087171873643127
2000-01-11,1633.25,1639.9,1548.25,1572.5,-0.036989405352440496,-0.0018020346837521982,0.025409824232141328
2000-01-12,1572.3,1631.55,1571.7,1624.8,0.03325914149443558,0.0032067047702746274,0.026714445580719153
2000-01-13,1627.85,1671.15,1613.65,1621.4,-0.0020925652387985376,0.002544296019140482,0.024803633362622098
2000-01-14,1622.15,1627.4,1591.4,1622.7,0.0008017762427531481,0.002350682710653,0.02320894384731819
2000-01-17,1623.5,1668.45,1604.65,1611.6,-0.0068404511000185715,0.0014315693295858431,0.022073789995066935
2000-01-18,1611.65,1615.15,1587.85,1606.7,-0.0030404566890046315,0.0010250215097139818,0.020984400794398526
2000-01-19,1610.05,1644.45,1608.85,1634.8,0.017489263708221764,0.0023970416929229637,0.020564604997141585
2000-01-20,1634.65,1644.4,1596.65,1601.1,-0.020614142402740426,0.0006269506086411645,0.020697655799733858
2000-01-21,1601.25,1626.5,1593.2,1620.6,0.012179126850290427,0.0014521060544732546,0.02012391593264131
2000-01-24,1623.05,1645.0,1608.3,1613.6,-0.004319387881031717,0.0010673397921062565,0.019449064186319254
2000-01-25,1612.95,1613.65,1579.55,1586.4,-0.01685671789786801,-5.2913813517135085e-05,0.019316517494877897
2000-01-27,1600.5,1633.55,1600.05,1603.9,0.011031265758951084,0.0005990967495692308,0.018895352862177486
2000-01-28,1603.65,1610.9,1592.7,1599.1,-0.0029927052808779732,0.00039955219232216385,0.018350723777774806
2000-01-31,1598.35,1598.35,1538.7,1546.2,-0.03308110812331928,-0.001362587824290544,0.019417476489128983
2000-02-01,1546.2,1554.15,1521.4,1549.5,0.0021342646488164236,-0.0011877452006351956,0.018915751798662575
