"Date","Open","High","Low","Close"
"12 Aug 2022","9417.60","9458.10","9404.50","9421.60"
"11 Aug 2022","9398.15","9410.70","9366.20","9397.95"
"10 Aug 2022","9386.55","9393.75","9294.60","9316.70"
"08 Aug 2022","9329.85","9358.70","9276.50","9349.65"
"05 Aug 2022","9358.70","9395.15","9304.00","9318.00"
"04 Aug 2022","9410.25","9452.20","9193.55","9323.40"
"03 Aug 2022","9424.55","9453.90","9302.80","9357.45"
"02 Aug 2022","9328.80","9422.55","9295.65","9402.80"
"01 Aug 2022","9230.50","9350.30","9173.15","9336.65"
"29 Jul 2022","9084.15","9184.35","9076.40","9171.20"
"28 Jul 2022","8999.60","9024.40","8964.60","9017.95"
"27 Jul 2022","8925.20","8949.35","8889.85","8941.55"
"26 Jul 2022","9074.30","9078.55","8929.55","8941.15"
"25 Jul 2022","9125.50","9142.25","9035.25","9075.90"
"22 Jul 2022","9136.15","9153.20","9082.95","9128.75"
"21 Jul 2022","9055.20","9104.15","9016.55","9094.90"
"20 Jul 2022","9047.25","9093.10","9006.10","9025.40"
"19 Jul 2022","8856.40","8963.95","8838.60","8953.25"
"18 Jul 2022","8788.10","8875.25","8787.00","8863.20"
"15 Jul 2022","8710.70","8732.85","8646.50","8724.35"
"14 Jul 2022","8808.40","8825.65","8652.65","8694.70"
"13 Jul 2022","8833.80","8855.75","8774.85","8795.15"
"12 Jul 2022","8800.20","8842.80","8761.45","8775.80"
"11 Jul 2022","8713.05","8817.30","8697.50","8812.65"
"08 Jul 2022","8767.35","8782.50","8710.05","8730.10"
"07 Jul 2022","8644.90","8713.65","8623.95","8703.55"
"06 Jul 2022","8546.05","8577.20","8451.25","8568.65"
"05 Jul 2022","8573.15","8639.00","8515.55","8526.50"
"04 Jul 2022","8495.35","8545.05","8490.00","8532.15"
"01 Jul 2022","8435.90","8490.95","8348.30","8477.55"
"30 Jun 2022","8504.30","8565.40","8419.20","8445.25"
"29 Jun 2022","8434.70","8522.00","8417.40","8484.30"
"28 Jun 2022","8535.55","8540.90","8457.25","8532.50"
"27 Jun 2022","8509.60","8584.45","8486.65","8561.70"
"24 Jun 2022","8319.60","8400.85","8312.95","8390.65"
"23 Jun 2022","8170.25","8261.05","8136.50","8245.70"
"22 Jun 2022","8229.45","8230.95","8123.65","8138.90"
"21 Jun 2022","8064.65","8275.95","8052.55","8255.50"
"20 Jun 2022","8259.75","8284.30","7904.90","7982.55"
"17 Jun 2022","8272.60","8341.40","8149.50","8246.50"
"16 Jun 2022","8714.50","8737.40","8296.45","8313.35"
"15 Jun 2022","8612.05","8645.35","8583.65","8607.85"
"14 Jun 2022","8548.75","8692.90","8531.85","8556.80"
"13 Jun 2022","8770.45","8775.00","8591.25","8607.60"
"10 Jun 2022","8959.85","9000.90","8934.95","8955.20"
"09 Jun 2022","8993.05","9065.05","8965.05","9054.60"
"08 Jun 2022","9107.85","9141.40","8995.80","9035.35"
"07 Jun 2022","9062.90","9102.80","9005.95","9062.15"
"06 Jun 2022","9193.10","9204.00","9028.70","9115.90"
"03 Jun 2022","9381.95","9408.00","9188.15","9210.25"
"02 Jun 2022","9230.65","9304.65","9213.95","9290.55"
"01 Jun 2022","9259.05","9336.45","9167.80","9233.85"
"31 May 2022","9093.00","9241.15","9057.20","9208.50"
"30 May 2022","8944.35","9105.15","8925.10","9095.95"
"27 May 2022","8807.50","8874.00","8752.05","8824.05"
"26 May 2022","8675.80","8719.95","8429.95","8705.25"
"25 May 2022","8988.05","9005.60","8627.70","8638.95"
"24 May 2022","9097.90","9118.45","8930.40","8948.85"
"23 May 2022","9172.90","9192.35","9049.35","9063.35"
"20 May 2022","9060.20","9148.15","9030.90","9136.10"
"19 May 2022","8915.35","8996.75","8859.05","8912.30"
"18 May 2022","9248.95","9305.70","9132.15","9158.00"
"17 May 2022","8980.25","9209.85","8933.35","9193.70"
"16 May 2022","8864.15","8916.00","8734.85","8895.25"
"13 May 2022","8865.95","8981.10","8771.00","8796.65"
"12 May 2022","8790.30","8813.20","8625.45","8714.35"
"11 May 2022","9205.70","9244.45","8688.75","8880.65"
"10 May 2022","9339.55","9481.00","9117.45","9146.80"
"09 May 2022","9495.60","9505.20","9315.70","9356.15"
"06 May 2022","9606.55","9621.45","9482.20","9559.15"
"05 May 2022","10000.90","10018.70","9792.80","9807.10"
"04 May 2022","10172.90","10206.20","9844.30","9881.45"
"02 May 2022","10162.75","10193.70","10082.40","10119.65"
"29 Apr 2022","10440.10","10458.75","10231.35","10256.95"
"28 Apr 2022","10432.55","10445.50","10271.40","10376.90"
"27 Apr 2022","10315.60","10362.65","10224.35","10339.25"
"26 Apr 2022","10399.05","10434.55","10350.85","10402.45"
"25 Apr 2022","10446.55","10448.10","10266.20","10282.60"
"22 Apr 2022","10530.50","10646.90","10509.20","10537.20"
"21 Apr 2022","10510.35","10596.20","10509.60","10571.05"
"20 Apr 2022","10491.30","10573.00","10388.35","10409.85"
"19 Apr 2022","10677.05","10730.70","10324.55","10428.15"
"18 Apr 2022","10679.15","10679.15","10533.20","10603.70"
"13 Apr 2022","10812.40","10850.65","10728.35","10738.00"
"12 Apr 2022","10887.95","10887.95","10615.45","10717.50"
"11 Apr 2022","10929.90","10989.55","10876.60","10890.10"
"08 Apr 2022","10925.95","10967.10","10876.50","10896.55"
"07 Apr 2022","10921.15","11001.50","10809.65","10854.50"
"06 Apr 2022","10871.95","10943.85","10829.75","10888.35"
"05 Apr 2022","10866.10","10920.40","10830.00","10875.35"
"04 Apr 2022","10693.35","10789.40","10689.60","10783.55"
"01 Apr 2022","10458.80","10619.65","10446.15","10611.25"
"31 Mar 2022","10413.00","10478.95","10403.70","10436.25"
"30 Mar 2022","10361.20","10405.50","10341.20","10364.30"
"29 Mar 2022","10285.65","10318.00","10227.55","10264.55"
"28 Mar 2022","10355.45","10368.40","10173.65","10229.60"
"25 Mar 2022","10420.60","10436.40","10289.65","10304.45"
"24 Mar 2022","10280.25","10370.80","10265.10","10355.65"
"23 Mar 2022","10403.05","10431.05","10291.45","10311.00"
"22 Mar 2022","10333.35","10341.05","10233.50","10332.20"
"21 Mar 2022","10351.35","10381.50","10267.20","10303.10"
"17 Mar 2022","10284.90","10303.80","10243.25","10279.05"
"16 Mar 2022","10175.00","10201.25","10110.80","10154.20"
"15 Mar 2022","10240.40","10270.80","9995.35","10036.60"
"14 Mar 2022","10197.70","10224.45","10092.35","10180.35"
"11 Mar 2022","10055.15","10198.65","10018.40","10158.40"
"10 Mar 2022","10168.15","10175.45","10010.10","10066.50"
"09 Mar 2022","9817.65","9950.65","9773.80","9927.65"
"08 Mar 2022","9579.90","9727.90","9523.70","9696.80"
"07 Mar 2022","9544.10","9598.20","9436.15","9552.60"
"04 Mar 2022","9873.75","9888.00","9733.10","9751.95"
"23 Feb 2022","9937.70","10055.05","9935.75","9956.85"
"22 Feb 2022","9727.10","9887.25","9715.55","9842.55"
"21 Feb 2022","10253.00","10268.30","10030.20","10048.70"
"18 Feb 2022","10387.75","10451.40","10317.20","10331.05"
"17 Feb 2022","10610.40","10636.45","10425.45","10441.80"
"16 Feb 2022","10607.20","10656.85","10527.40","10551.20"
"15 Feb 2022","10266.95","10487.70","10088.15","10475.15"
"14 Feb 2022","10412.20","10483.85","10188.85","10218.80"
