Date,Open,High,Low,Close
1-January-2009,2912.52,2973.47,2912.44,2969.05,
2-January-2009,2991.62,3023.43,2962.15,2989.77,
5-January-2009,3033.24,3081.42,3023.34,3074.21,
6-January-2009,3070.46,3111.61,3034.76,3090.79,
7-January-2009,3115.93,3130.41,2846.16,2870.80,
9-January-2009,2828.38,2885.00,2761.22,2809.92,
12-January-2009,2787.50,2791.21,2702.42,2725.22,
13-January-2009,2709.89,2761.69,2679.99,2703.89,
14-January-2009,2739.04,2800.90,2739.04,2789.44,
15-January-2009,2715.24,2718.59,2668.59,2696.37,
16-January-2009,2717.01,2773.39,2717.01,2768.79,
19-January-2009,2785.26,2796.52,2758.01,2775.65,
20-January-2009,2729.94,2729.94,2694.52,2714.62,
21-January-2009,2662.12,2704.68,2614.19,2626.00,
22-January-2009,2659.11,2664.26,2592.90,2623.20,
23-January-2009,2619.66,2634.38,2563.39,2576.27,
27-January-2009,2609.54,2664.25,2609.04,2658.91,
28-January-2009,2679.18,2740.32,2674.32,2737.70,
29-January-2009,2760.77,2770.93,2703.05,2724.35,
30-January-2009,2689.54,2782.23,2682.67,2778.39,
2-February-2009,2757.63,2757.63,2675.17,2679.81,
3-February-2009,2697.05,2735.92,2666.75,2692.26,
4-February-2009,2722.14,2744.28,2694.31,2704.44,
5-February-2009,2719.25,2719.25,2659.15,2679.37,
6-February-2009,2702.12,2743.55,2699.83,2737.48,
9-February-2009,2758.09,2820.31,2744.87,2815.41,
10-February-2009,2818.90,2857.97,2797.47,2835.79,
11-February-2009,2786.21,2836.51,2782.29,2829.41,
12-February-2009,2807.72,2828.95,2789.30,2794.22,
13-February-2009,2818.48,2860.32,2818.48,2842.43,
16-February-2009,2844.42,2844.42,2736.50,2745.05,
17-February-2009,2711.31,2711.31,2656.04,2668.05,
18-February-2009,2637.32,2691.89,2637.32,2664.36,
19-February-2009,2674.24,2692.60,2653.51,2669.96,
20-February-2009,2642.11,2642.11,2589.45,2613.62,
24-February-2009,2571.18,2611.23,2549.52,2600.89,
25-February-2009,2629.59,2650.62,2616.59,2621.84,
26-February-2009,2621.40,2641.56,2589.72,2631.54,
27-February-2009,2627.40,2631.63,2572.46,2619.50,
2-March-2009,2580.46,2580.46,2525.55,2538.77,
3-March-2009,2525.71,2548.93,2481.45,2490.25,
4-March-2009,2503.83,2513.32,2478.10,2500.36,
5-March-2009,2522.39,2523.72,2422.51,2432.22,
6-March-2009,2400.29,2465.73,2391.24,2460.45,
9-March-2009,2442.25,2442.98,2400.28,2413.05,
12-March-2009,2453.38,2486.83,2445.76,2463.16,
13-March-2009,2509.38,2582.69,2509.38,2573.47,
16-March-2009,2585.12,2637.18,2561.99,2634.01,
17-March-2009,2636.72,2659.99,2595.37,2612.67,
18-March-2009,2642.36,2688.10,2639.14,2646.22,
19-March-2009,2666.33,2677.59,2623.44,2653.72,
20-March-2009,2640.90,2654.28,2617.37,2643.99,
23-March-2009,2673.73,2776.67,2673.73,2769.82,
24-March-2009,2807.25,2848.06,2757.16,2775.20,
25-March-2009,2769.85,2843.17,2765.03,2833.87,
26-March-2009,2863.65,2935.79,2863.65,2921.09,
27-March-2009,2934.34,2963.16,2902.81,2953.13,
30-March-2009,2903.20,2903.20,2803.72,2819.36,
31-March-2009,2836.61,2897.09,2812.98,2866.66,
1-April-2009,2875.35,2921.46,2825.37,2916.47,
2-April-2009,2985.78,3070.76,2985.78,3046.80,
6-April-2009,3108.33,3135.13,3065.61,3101.98,
8-April-2009,3006.34,3180.55,2997.85,3171.04,
9-April-2009,3217.97,3225.93,3145.33,3190.46,
13-April-2009,3234.45,3274.99,3197.98,3243.99,
15-April-2009,3191.09,3364.82,3177.14,3352.38,
16-April-2009,3380.04,3385.74,3226.27,3241.10,
17-April-2009,3277.95,3363.48,3243.85,3268.96,
20-April-2009,3286.02,3336.83,3237.62,3275.52,
21-April-2009,3213.03,3292.45,3212.87,3250.17,
22-April-2009,3275.65,3295.58,3194.69,3223.14,
23-April-2009,3238.52,3329.32,3199.91,3312.48,
24-April-2009,3315.77,3380.22,3301.03,3370.88,
27-April-2009,3338.31,3418.01,3333.18,3372.50,
28-April-2009,3374.09,3375.24,3247.90,3259.73,
29-April-2009,3296.99,3373.96,3284.67,3366.30,
4-May-2009,3447.09,3569.39,3447.09,3563.40,
5-May-2009,3568.34,3594.23,3535.53,3576.91,
6-May-2009,3578.10,3619.40,3505.76,3523.50,
7-May-2009,3556.99,3583.34,3533.02,3577.39,
8-May-2009,3579.24,3599.16,3478.46,3515.43,
11-May-2009,3556.29,3556.29,3438.73,3460.09,
12-May-2009,3443.58,3595.59,3439.40,3586.04,
13-May-2009,3603.37,3623.14,3532.03,3556.15,
14-May-2009,3476.88,3543.49,3466.60,3529.35,
15-May-2009,3561.32,3623.92,3561.32,3607.23,
18-May-2009,4008.17,4224.95,4008.17,4211.60,
19-May-2009,4329.16,4418.92,4074.38,4247.66,
20-May-2009,4203.71,4307.57,4194.79,4225.44,
21-May-2009,4220.51,4262.94,4137.28,4152.36,
22-May-2009,4132.93,4210.17,4109.80,4200.18,
25-May-2009,4236.66,4247.36,4191.25,4222.09,
26-May-2009,4247.27,4256.51,4093.29,4115.04,
27-May-2009,4202.52,4276.58,4199.07,4274.26,
28-May-2009,4289.20,4343.23,4267.84,4320.32,
29-May-2009,4360.06,4457.05,4359.52,4419.68,
1-June-2009,4486.34,4507.24,4439.76,4500.19,
2-June-2009,4537.64,4546.82,4420.33,4500.47,
3-June-2009,4534.48,4562.72,4463.10,4514.84,
4-June-2009,4477.60,4570.96,4448.02,4566.75,
5-June-2009,4607.07,4646.26,4568.59,4589.28,
8-June-2009,4621.21,4621.21,4410.28,4429.44,
9-June-2009,4396.37,4577.78,4380.66,4569.11,
10-June-2009,4609.93,4701.56,4609.93,4669.45,
11-June-2009,4688.92,4689.44,4599.71,4652.06,
12-June-2009,4684.11,4716.35,4582.27,4598.62,
15-June-2009,4564.03,4612.37,4485.09,4507.73,
16-June-2009,4444.45,4570.00,4434.61,4552.79,
17-June-2009,4550.30,4561.28,4380.77,4402.83,
18-June-2009,4395.09,4424.01,4279.76,4312.40,
19-June-2009,4361.36,4402.20,4279.65,4390.79,
22-June-2009,4431.95,4437.04,4310.77,4327.31,
23-June-2009,4246.65,4344.68,4232.59,4324.38,
24-June-2009,4360.35,4381.29,4299.77,4368.88,
25-June-2009,4407.42,4416.39,4324.62,4345.36,
26-June-2009,4383.82,4475.47,4363.55,4472.36,
29-June-2009,4487.90,4550.89,4464.35,4501.92,
30-June-2009,4536.41,4539.22,4370.04,4391.46,
1-July-2009,4401.74,4460.21,4343.18,4441.47,
2-July-2009,4468.49,4484.04,4392.38,4448.08,
3-July-2009,4410.20,4532.47,4409.06,4523.66,
6-July-2009,4552.36,4584.29,4235.47,4263.41,
7-July-2009,4299.82,4326.90,4244.06,4294.96,
8-July-2009,4239.43,4240.71,4146.87,4168.91,
9-July-2009,4185.76,4210.82,4134.25,4177.36,
10-July-2009,4207.48,4221.55,4072.04,4096.30,
13-July-2009,4041.18,4064.30,3998.11,4050.21,
14-July-2009,4125.00,4217.56,4125.00,4201.04,
15-July-2009,4243.05,4348.47,4227.48,4335.40,
16-July-2009,4398.04,4410.46,4316.08,4339.14,
17-July-2009,4368.99,4492.94,4368.99,4478.20,
20-July-2009,4531.74,4605.25,4512.79,4600.37,
21-July-2009,4607.67,4607.67,4535.43,4568.07,
22-July-2009,4596.37,4656.11,4481.98,4500.85,
23-July-2009,4554.86,4623.70,4549.50,4617.30,
24-July-2009,4666.54,4675.97,4604.01,4666.07,
27-July-2009,4675.85,4702.52,4632.34,4675.04,
28-July-2009,4694.49,4706.86,4645.22,4673.98,
29-July-2009,4652.66,4688.54,4528.15,4617.56,
30-July-2009,4611.72,4677.64,4584.80,4671.82,
31-July-2009,4732.50,4775.21,4695.73,4742.39,
3-August-2009,4762.15,4829.17,4730.17,4819.99,
4-August-2009,4843.21,4843.21,4754.83,4792.82,
