Scheme Code,Scheme Name,Net Asset Value,Date,Duration Days
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4446,2012-12-31,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.812,2013-04-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8157,2013-04-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.819,2013-04-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8226,2013-04-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8263,2013-04-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8334,2013-04-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8371,2013-04-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8409,2013-04-09,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8446,2013-04-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8484,2013-04-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8522,2013-04-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8595,2013-04-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8633,2013-04-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.867,2013-04-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8708,2013-04-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8745,2013-04-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8855,2013-04-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8893,2013-04-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8931,2013-04-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.8969,2013-04-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9006,2013-04-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.904,2013-04-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9106,2013-04-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9143,2013-04-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9183,2013-04-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2558,2013-08-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2594,2013-08-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2667,2013-08-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2708,2013-08-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2755,2013-08-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2807,2013-08-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.286,2013-08-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.302,2013-08-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3071,2013-08-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3124,2013-08-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3177,2013-08-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.323,2013-08-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3283,2013-08-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3388,2013-08-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3441,2013-08-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3494,2013-08-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3547,2013-08-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3601,2013-08-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3654,2013-08-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.376,2013-08-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3813,2013-08-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3867,2013-08-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.392,2013-08-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.3974,2013-08-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.4027,2013-08-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8427,2013-12-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8466,2013-12-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8502,2013-12-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8537,2013-12-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8575,2013-12-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8615,2013-12-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8695,2013-12-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8735,2013-12-09,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8775,2013-12-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8814,2013-12-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8853,2013-12-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8896,2013-12-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8981,2013-12-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9025,2013-12-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.907,2013-12-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9116,2013-12-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9162,2013-12-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9207,2013-12-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9296,2013-12-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9342,2013-12-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9387,2013-12-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9432,2013-12-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9477,2013-12-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9521,2013-12-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9607,2013-12-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9653,2013-12-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9699,2013-12-31,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.568,2013-02-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5755,2013-02-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5794,2013-02-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5831,2013-02-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.587,2013-02-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5908,2013-02-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5946,2013-02-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.602,2013-02-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6059,2013-02-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6097,2013-02-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6135,2013-02-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6174,2013-02-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6212,2013-02-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6288,2013-02-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6327,2013-02-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6366,2013-02-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6405,2013-02-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6444,2013-02-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6483,2013-02-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.656,2013-02-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6599,2013-02-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6638,2013-02-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6676,2013-02-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6715,2013-02-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4483,2013-01-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4522,2013-01-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.456,2013-01-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4599,2013-01-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4675,2013-01-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4714,2013-01-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4753,2013-01-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4792,2013-01-09,2
