Scheme Code,Scheme Name,startDate,endDate
100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,2009-01-01,2022-10-07
100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,2009-01-01,2022-10-07
100035,Birla Sun Life Freedom Fund-Plan A (Dividend),2009-01-01,2011-10-21
100036,Birla Sun Life Freedom Fund-Plan B (Growth),2009-01-01,2011-10-21
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,2009-01-01,2022-10-07
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,2009-01-01,2022-10-07
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,2009-01-01,2022-10-08
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),2009-01-01,2022-10-08
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),2009-01-01,2022-10-08
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,2009-01-01,2022-10-08
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,2009-01-01,2022-10-08
100047,Aditya Birla Sun Life Liquid Fund - Growth,2009-01-01,2022-10-08
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,2009-01-01,2022-10-08
100049,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,2009-01-01,2011-02-11
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,2009-01-01,2022-10-08
100052,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,2009-01-01,2011-02-16
100053,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,2009-01-01,2011-02-15
100054,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,2009-01-01,2015-12-11
100055,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,2009-01-01,2015-12-11
100056,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,2009-01-01,2015-12-11
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,2009-01-01,2022-10-07
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,2009-01-01,2022-10-07
100059,Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend),2009-01-01,2013-02-22
100060,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,2009-01-01,2018-06-01
100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,2009-01-01,2018-06-01
100062,Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend),2009-01-01,2011-02-11
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,2009-01-01,2022-10-07
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,2009-01-01,2022-10-07
100065,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,2009-01-01,2018-06-01
