date,startDate,length,collection_window,endDate,goal_endDate,pending_investment,emi,days_to_maturity,is_payDay,is_collectionPeriod,matched_duration,Scheme Code,Scheme Name,Duration Days,NAV,units_bought,date_endDate,NAV_endDate,value_endDate
2022-08-29,2021-09-03,1y,7d,2022-08-29,106654.34380776339,0.0,8333.333333333334,0,False,True,0,,,,,,,,
2022-08-28,2021-09-03,1y,7d,2022-08-29,106654.34380776339,0.0,8333.333333333334,1,False,True,-1,,,,,,,,
2022-08-27,2021-09-03,1y,7d,2022-08-29,106654.34380776339,0.0,8333.333333333334,2,False,True,-1,,,,,,,,
2022-08-26,2021-09-03,1y,7d,2022-08-29,106654.34380776339,0.0,8333.333333333334,3,False,True,-1,,,,,,,,
2021-12-02,2021-09-03,1y,7d,2022-08-29,106654.34380776339,75000.0,8333.333333333334,270,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4136.1902,2.014736491888921,2022-08-29,4261.3449,8585.487074554743
2022-04-01,2021-09-03,1y,7d,2022-08-29,106654.34380776339,41666.66666666667,8333.333333333334,150,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4185.1731,1.9911561921616419,2022-08-29,4261.3449,8485.003284571432
2022-07-30,2021-09-03,1y,7d,2022-08-29,106654.34380776339,8333.333333333334,8333.333333333334,30,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4241.9885,1.9644874881988326,2022-08-29,4261.3449,8371.358738949906
2021-11-02,2021-09-03,1y,7d,2022-08-29,106654.34380776339,83333.33333333334,8333.333333333334,300,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4123.3954,2.020988172352652,2022-08-29,4261.3449,8612.127641215295
2022-03-02,2021-09-03,1y,7d,2022-08-29,106654.34380776339,50000.0,8333.333333333334,180,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4172.001,1.9974427938376174,2022-08-29,4261.3449,8511.792662561682
2022-06-30,2021-09-03,1y,7d,2022-08-29,106654.34380776339,16666.666666666668,8333.333333333334,60,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4226.4589,1.9717057542741832,2022-08-29,4261.3449,8402.118260276944
2021-10-03,2021-09-03,1y,7d,2022-08-29,106654.34380776339,91666.66666666667,8333.333333333334,330,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4112.9919,2.026100108131342,2022-08-29,4261.3449,8633.911362674944
2022-01-31,2021-09-03,1y,7d,2022-08-29,106654.34380776339,58333.333333333336,8333.333333333334,210,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4159.4685,2.003461099256632,2022-08-29,4261.3449,8537.438737665643
2022-05-31,2021-09-03,1y,7d,2022-08-29,106654.34380776339,25000.0,8333.333333333334,90,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4210.0614,1.9793852254347966,2022-08-29,4261.3449,8434.843135541922
2021-09-03,2021-09-03,1y,7d,2022-08-29,106654.34380776339,100000.0,8333.333333333334,360,True,False,360,118961,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option,360.0,39.372,211.65633783738022,2022-08-29,40.7604,8627.196992786752
2022-01-01,2021-09-03,1y,7d,2022-08-29,106654.34380776339,66666.66666666667,8333.333333333334,240,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4148.2029,2.0089020557150987,2022-08-29,4261.3449,8560.624529721052
2022-08-30,2021-09-03,1y,7d,2022-08-29,106654.34380776339,-8333.333333333334,8333.333333333334,-1,False,True,-1,,,,,,,,
2022-05-01,2021-09-03,1y,7d,2022-08-29,106654.34380776339,33333.333333333336,8333.333333333334,120,True,False,30,119091,HDFC Liquid Fund - Growth Option - Direct Plan,30.0,4197.4531,1.9853308982376323,2022-08-29,4261.3449,8460.179698017353
2022-09-01,2021-09-03,1y,7d,2022-08-29,106654.34380776339,-8333.333333333334,8333.333333333334,-3,False,True,-1,,,,,,,,
2022-08-31,2021-09-03,1y,7d,2022-08-29,106654.34380776339,-8333.333333333334,8333.333333333334,-2,False,True,-1,,,,,,,,
