AMC,Scheme Name,Scheme,Scheme Type,Date,Date
,,,,min,max
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA DIRECT GROWTH,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,2019-02-12,2022-10-07
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA REGULAR GROWTH,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,2019-02-12,2022-10-07
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Direct - IDCW,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,2019-02-12,2022-10-07
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Regular - IDCW,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,2019-02-12,2022-10-07
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Monthly Payout of IDCW,Open Ended Schemes,Debt Scheme - Overnight Fund,2018-11-30,2022-10-08
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Weekly Reinvestment of IDCW,Open Ended Schemes,Debt Scheme - Overnight Fund,2018-11-01,2022-08-01
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Regular - Weekly Reinvestment of IDCW option,Open Ended Schemes,Debt Scheme - Overnight Fund,2019-01-25,2022-10-08
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW,Open Ended Schemes,Debt Scheme - Overnight Fund,2018-11-01,2022-10-08
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW,Open Ended Schemes,Debt Scheme - Overnight Fund,2018-11-01,2022-10-08
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option,Open Ended Schemes,Debt Scheme - Overnight Fund,2018-11-01,2022-10-08
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,Open Ended Schemes,Debt Scheme - Overnight Fund,2018-11-01,2022-10-08
Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH,Open Ended Schemes,Debt Scheme - Overnight Fund,2018-11-01,2022-10-08
Aditya Birla Sun Life Mutual Fund,Aditya Birla SUn Life Fixed Term Plan - Series OF (1151 days) - Direct Plan-Growth,Close Ended Schemes,Income,2017-03-14,2020-04-30
